Product,Recipies,,Calories,Denmark water,Germany water,Meal
Sheep meat,Lamb Curry,,2560,3162,3141,Lunch
Tomatoes,Herb Parmesan Roasted tomatoes,,1210,889,1194,Lunch
Strawberries,Strawberry Balsamic Vinaigrette,,1210,1769,1281,Lunch
Chicken meat,Chicken Rotisserie ,,2141,2895,3224,Lunch
Chickpeas,Pea soup,,3296,1893,2239,Dinner
Beef,Beef Stir fry,,2195,5407,5427,Dinner
Pig meat,Pork Chops,,2978,5207,4692,Dinner
Potatoes,Potatoes and Chives,,1622,987,1187,Dinner
Eggs,Scrambled eggs,,2130,2965,2901,Breakfast
Oats,Oatmeal with Cinnamon,,3196,1681,1896,Breakfast
Apples,Apple Pie,,1210,1194,1053,Breakfast
Pears,Poached pears,,1210,1388,1115,Breakfast
